text= | desc=مكالمة صوتية للمجموعة | enabled=true | bounds=[1095,75][1185,165]
text= | desc=مكالمة فيديو للمجموعة | enabled=true | bounds=[1275,75][1365,165]
text=f | desc= | enabled=true | bounds=[169,437][207,561]
text=fgh | desc= | enabled=true | bounds=[375,343][509,449]
text=مجموعة مشفرة | desc= | enabled=true | bounds=[375,449][641,551]
text= 1 أعضاء • تشفير Sender Keys | desc= | enabled=true | bounds=[428,551][963,653]
text= عامة | desc= | enabled=true | bounds=[1031,551][1110,653]
text=الأعضاء | desc= | enabled=true | bounds=[289,762][431,843]
text=الإعدادات | desc= | enabled=true | bounds=[992,762][1168,843]
text=أدوات الإدارة | desc= | enabled=true | bounds=[105,976][345,1078]
text= دعوة | desc= | enabled=true | bounds=[210,1159][308,1238]
text= معرف | desc= | enabled=true | bounds=[488,1159][597,1238]
text= الطلبات (0) | desc= | enabled=true | bounds=[777,1159][985,1238]
text= إضافة أعضاء من أصدقائك | desc= | enabled=true | bounds=[503,1447][1027,1536]
text=f | desc= | enabled=true | bounds=[173,1710][196,1812]
text=ffd (أنت) | desc= | enabled=true | bounds=[308,1656][534,1764]
text=34919 | desc= | enabled=true | bounds=[308,1764][423,1866]
text= المالك السيادي | desc= | enabled=true | bounds=[1074,1710][1305,1812]
