branch,last_commit_date,author,subject,commits,ahead_of_main,behind_main,files_in_branch,identical_to_main,pct_identical,only_in_branch,only_in_main,modified,modified_old_version_in_main_history,modified_unique_content,added_files_whose_content_is_in_main_history,added_files_unique_content,pairs_ws_only,pairs_crlf_diff,pairs_bom_diff,pairs_final_newline_diff
arena/019fe8fa-pro-v1,2026-08-10,Ayman,Merge origin/arena/019fe99e-pro-v1 with local fixes,196,117,371,31096,10067,88.86,20603,836,426,416,10,20603,0,23,80,21,13
arena/019fe9e3-pro-v1,2026-08-11,Ayman123123123,"Merged PR #24: Hardened NGINX, SSL self-healing, and operational tools integrated",258,179,371,10869,10169,89.76,265,725,435,405,30,260,5,23,85,24,15
arena/019ff019-pro-v1,2026-08-11,Ayman123123123,docs(schema): update master-schema.sql to match V23 database capabilities and performance ,221,142,371,10802,10115,89.28,260,787,427,423,4,258,2,23,81,21,12
arena/019ff06b-pro-v1,2026-08-11,arena-ai-coding-agent[bot],دمج PR #17: توافق DINSTAR متعدد البوابات، ومعرّف يونس، وإصلاحات أمنية,233,154,371,10823,10147,89.57,258,764,418,418,0,258,0,23,85,23,13
arena/019ff085-pro-v1,2026-08-11,Arena Agent,ci: إعادة build-red.yml لإصدار main (bot بلا صلاحية workflows),248,169,371,10843,10165,89.73,260,746,418,418,0,260,0,23,85,23,13
arena/019ff0c7-pro-v1,2026-08-11,Ayman123123123,feat(remote-wipe+ws-hardening): بروتوكول RemoteWipe/RemoteWipeAck + تحصين RedMasterHandler,234,155,371,10823,10147,89.57,258,764,418,418,0,258,0,23,85,23,13
arena/019ff146-pro-v1,2026-08-11,Ayman123123123,"fix(android): wire backup/update navigation, add full-screen call intent, clean notificati",240,161,371,10862,10178,89.84,259,726,425,425,0,259,0,23,86,24,13
arena/019ff178-pro-v1,2026-08-11,Ayman123123123,feat(platform): activate app features and restore complete quality gates,239,160,371,10873,10202,90.05,259,715,412,412,0,259,0,23,86,24,14
arena/019ff1f9-pro-v1,2026-08-11,Ayman123123123,"docs: final comprehensive fix report for APK build complexity (env, deps, composable, svg,",245,166,371,10878,10208,90.11,259,710,411,411,0,259,0,23,86,24,14
arena/019ff215-pro-v1,2026-08-11,Ayman123123123,merge: resolve main integration conflicts,252,173,371,10896,10231,90.31,259,692,406,406,0,259,0,23,86,24,14
arena/019ff237-pro-v1,2026-08-11,Ayman123123123,fix(audit): deep comprehensive audit — fix 4 critical defects (Elements import + 3x !!) + ,244,165,371,10885,10214,90.16,262,706,409,406,3,262,0,23,86,24,14
arena/019ff422-pro-v1,2026-08-12,Ayman123123123,fix(platform): align Kotlin tests and close call/typing admin gaps,256,177,371,10909,10258,90.55,262,682,389,389,0,262,0,27,86,24,14
arena/019ff82d-pro-v1,2026-08-13,Ayman123123123,Merge main into the YOUNES calling branch.,272,193,371,10957,10342,91.29,263,635,352,352,0,263,0,27,88,26,12
arena/019ff859-pro-v1,2026-08-13,Ayman123123123,Make server health checks tolerant of transient network blips,248,169,371,10912,10259,90.56,263,680,390,390,0,263,0,27,86,24,14
arena/019ff8b4-pro-v1,2026-08-13,Ayman123123123,صحة الإدارة والتحليلات وعدم الخروج عند 500,276,197,371,10957,10346,91.32,263,635,348,348,0,263,0,27,88,26,12
