branch,path,attr_diff,whitespace_only,main_crlf,branch_crlf,main_final_nl,branch_final_nl
arena/019fe8fa-pro-v1,.gitignore,bom,False,False,False,True,True
arena/019fe9e3-pro-v1,.gitignore,bom,False,False,False,True,True
arena/019ff019-pro-v1,.gitignore,bom,False,False,False,True,True
arena/019ff06b-pro-v1,.gitignore,bom,False,False,False,True,True
arena/019ff085-pro-v1,.gitignore,bom,False,False,False,True,True
arena/019ff0c7-pro-v1,.gitignore,bom,False,False,False,True,True
arena/019ff146-pro-v1,.gitignore,bom,False,False,False,True,True
arena/019ff178-pro-v1,.gitignore,bom,False,False,False,True,True
arena/019ff1f9-pro-v1,.gitignore,bom,False,False,False,True,True
arena/019ff215-pro-v1,.gitignore,bom,False,False,False,True,True
arena/019ff237-pro-v1,.gitignore,bom,False,False,False,True,True
arena/019ff422-pro-v1,.gitignore,bom,False,False,False,True,True
arena/019ff82d-pro-v1,.gitignore,bom,False,False,False,True,True
arena/019ff859-pro-v1,.gitignore,bom,False,False,False,True,True
arena/019ff8b4-pro-v1,.gitignore,bom,False,False,False,True,True
arena/019ff8c7-pro-v1,.gitignore,bom,False,False,False,True,True
arena/019ff8f2-pro-v1,.gitignore,bom,False,False,False,True,True
arena/019ffce9-pro-v1,.gitignore,bom,False,False,False,True,True
arena/019ffd78-pro-v1,.gitignore,bom,False,False,False,True,True
arena/019ffe92-pro-v1,.gitignore,bom,False,False,False,True,True
arena/019ffece-pro-v1,.gitignore,bom,False,False,False,True,True
arena/019fffd5-pro-v1,.gitignore,bom,False,False,False,True,True
arena/01a0064f-pro-v1,.gitignore,bom,False,False,False,True,True
chore/platform-rebuild-baseline,.gitignore,bom,False,False,False,True,True
feat/admin-social-management,.gitignore,bom,False,False,False,True,True
feature/uc2000-ve-sms-browser-audit,.gitignore,bom,False,False,False,True,True
fix/restore-websocket-registrations,.gitignore,bom,False,False,False,True,True
revert-37-arena/019ffd78-pro-v1,.gitignore,bom,False,False,False,True,True
arena/019fe8fa-pro-v1,.idea/workspace.xml,crlf,False,True,False,False,False
arena/019fe9e3-pro-v1,.idea/workspace.xml,crlf,False,True,False,False,False
arena/019ff019-pro-v1,.idea/workspace.xml,crlf,False,True,False,False,False
arena/019ff06b-pro-v1,.idea/workspace.xml,crlf,False,True,False,False,False
arena/019ff085-pro-v1,.idea/workspace.xml,crlf,False,True,False,False,False
arena/019ff0c7-pro-v1,.idea/workspace.xml,crlf,False,True,False,False,False
arena/019ff146-pro-v1,.idea/workspace.xml,crlf,False,True,False,False,False
arena/019ff178-pro-v1,.idea/workspace.xml,crlf,False,True,False,False,False
arena/019ff1f9-pro-v1,.idea/workspace.xml,crlf,False,True,False,False,False
arena/019ff215-pro-v1,.idea/workspace.xml,crlf,False,True,False,False,False
