path,branches_missing_it,branches
.artifacts/db08fa71-ce4c-4369-adf5-2364e60af271/implementation_plan.artifact.md,30,"arena/019fe8fa-pro-v1,arena/019fe9e3-pro-v1,arena/019ff019-pro-v1,arena/019ff06b-pro-v1,arena/019ff085-pro-v1,arena/019ff0c7-pro-v1,arena/019ff146-pro-v1,arena/019ff178-pro-v1,arena/019ff1f9-pro-v1,arena/019ff215-pro-v1,arena/019ff237-pro-v1,arena/019ff422-pro-v1,arena/019ff82d-pro-v1,arena/019ff859-pro-v1,arena/019ff8b4-pro-v1,arena/019ff8c7-pro-v1,arena/019ff8f2-pro-v1,arena/019ffce9-pro-v1,arena/019ffd78-pro-v1,arena/019ffe92-pro-v1,arena/019ffece-pro-v1,arena/019fffd5-pro-v1,arena/01a0064f-pro-v1,arena/01a00f9e-pro-v1,chore/platform-rebuild-baseline,feat/admin-social-management,feat/red-engineering-roadmap-20260820,feature/uc2000-ve-sms-browser-audit,fix/restore-websocket-registrations,revert-37-arena/019ffd78-pro-v1"
.artifacts/db08fa71-ce4c-4369-adf5-2364e60af271/task.artifact.md,30,"arena/019fe8fa-pro-v1,arena/019fe9e3-pro-v1,arena/019ff019-pro-v1,arena/019ff06b-pro-v1,arena/019ff085-pro-v1,arena/019ff0c7-pro-v1,arena/019ff146-pro-v1,arena/019ff178-pro-v1,arena/019ff1f9-pro-v1,arena/019ff215-pro-v1,arena/019ff237-pro-v1,arena/019ff422-pro-v1,arena/019ff82d-pro-v1,arena/019ff859-pro-v1,arena/019ff8b4-pro-v1,arena/019ff8c7-pro-v1,arena/019ff8f2-pro-v1,arena/019ffce9-pro-v1,arena/019ffd78-pro-v1,arena/019ffe92-pro-v1,arena/019ffece-pro-v1,arena/019fffd5-pro-v1,arena/01a0064f-pro-v1,arena/01a00f9e-pro-v1,chore/platform-rebuild-baseline,feat/admin-social-management,feat/red-engineering-roadmap-20260820,feature/uc2000-ve-sms-browser-audit,fix/restore-websocket-registrations,revert-37-arena/019ffd78-pro-v1"
.artifacts/db08fa71-ce4c-4369-adf5-2364e60af271/walkthrough.artifact.md,30,"arena/019fe8fa-pro-v1,arena/019fe9e3-pro-v1,arena/019ff019-pro-v1,arena/019ff06b-pro-v1,arena/019ff085-pro-v1,arena/019ff0c7-pro-v1,arena/019ff146-pro-v1,arena/019ff178-pro-v1,arena/019ff1f9-pro-v1,arena/019ff215-pro-v1,arena/019ff237-pro-v1,arena/019ff422-pro-v1,arena/019ff82d-pro-v1,arena/019ff859-pro-v1,arena/019ff8b4-pro-v1,arena/019ff8c7-pro-v1,arena/019ff8f2-pro-v1,arena/019ffce9-pro-v1,arena/019ffd78-pro-v1,arena/019ffe92-pro-v1,arena/019ffece-pro-v1,arena/019fffd5-pro-v1,arena/01a0064f-pro-v1,arena/01a00f9e-pro-v1,chore/platform-rebuild-baseline,feat/admin-social-management,feat/red-engineering-roadmap-20260820,feature/uc2000-ve-sms-browser-audit,fix/restore-websocket-registrations,revert-37-arena/019ffd78-pro-v1"
.github/workflows/quality-gate.yml,30,"arena/019fe8fa-pro-v1,arena/019fe9e3-pro-v1,arena/019ff019-pro-v1,arena/019ff06b-pro-v1,arena/019ff085-pro-v1,arena/019ff0c7-pro-v1,arena/019ff146-pro-v1,arena/019ff178-pro-v1,arena/019ff1f9-pro-v1,arena/019ff215-pro-v1,arena/019ff237-pro-v1,arena/019ff422-pro-v1,arena/019ff82d-pro-v1,arena/019ff859-pro-v1,arena/019ff8b4-pro-v1,arena/019ff8c7-pro-v1,arena/019ff8f2-pro-v1,arena/019ffce9-pro-v1,arena/019ffd78-pro-v1,arena/019ffe92-pro-v1,arena/019ffece-pro-v1,arena/019fffd5-pro-v1,arena/01a0064f-pro-v1,arena/01a00f9e-pro-v1,chore/platform-rebuild-baseline,feat/admin-social-management,feat/red-engineering-roadmap-20260820,feature/uc2000-ve-sms-browser-audit,fix/restore-websocket-registrations,revert-37-arena/019ffd78-pro-v1"
.idea/.gitignore,30,"arena/019fe8fa-pro-v1,arena/019fe9e3-pro-v1,arena/019ff019-pro-v1,arena/019ff06b-pro-v1,arena/019ff085-pro-v1,arena/019ff0c7-pro-v1,arena/019ff146-pro-v1,arena/019ff178-pro-v1,arena/019ff1f9-pro-v1,arena/019ff215-pro-v1,arena/019ff237-pro-v1,arena/019ff422-pro-v1,arena/019ff82d-pro-v1,arena/019ff859-pro-v1,arena/019ff8b4-pro-v1,arena/019ff8c7-pro-v1,arena/019ff8f2-pro-v1,arena/019ffce9-pro-v1,arena/019ffd78-pro-v1,arena/019ffe92-pro-v1,arena/019ffece-pro-v1,arena/019fffd5-pro-v1,arena/01a0064f-pro-v1,arena/01a00f9e-pro-v1,chore/platform-rebuild-baseline,feat/admin-social-management,feat/red-engineering-roadmap-20260820,feature/uc2000-ve-sms-browser-audit,fix/restore-websocket-registrations,revert-37-arena/019ffd78-pro-v1"
.kilo/kilo.jsonc,30,"arena/019fe8fa-pro-v1,arena/019fe9e3-pro-v1,arena/019ff019-pro-v1,arena/019ff06b-pro-v1,arena/019ff085-pro-v1,arena/019ff0c7-pro-v1,arena/019ff146-pro-v1,arena/019ff178-pro-v1,arena/019ff1f9-pro-v1,arena/019ff215-pro-v1,arena/019ff237-pro-v1,arena/019ff422-pro-v1,arena/019ff82d-pro-v1,arena/019ff859-pro-v1,arena/019ff8b4-pro-v1,arena/019ff8c7-pro-v1,arena/019ff8f2-pro-v1,arena/019ffce9-pro-v1,arena/019ffd78-pro-v1,arena/019ffe92-pro-v1,arena/019ffece-pro-v1,arena/019fffd5-pro-v1,arena/01a0064f-pro-v1,arena/01a00f9e-pro-v1,chore/platform-rebuild-baseline,feat/admin-social-management,feat/red-engineering-roadmap-20260820,feature/uc2000-ve-sms-browser-audit,fix/restore-websocket-registrations,revert-37-arena/019ffd78-pro-v1"
.kilo/plans/1786974872810-call-features-completion-plan.md,30,"arena/019fe8fa-pro-v1,arena/019fe9e3-pro-v1,arena/019ff019-pro-v1,arena/019ff06b-pro-v1,arena/019ff085-pro-v1,arena/019ff0c7-pro-v1,arena/019ff146-pro-v1,arena/019ff178-pro-v1,arena/019ff1f9-pro-v1,arena/019ff215-pro-v1,arena/019ff237-pro-v1,arena/019ff422-pro-v1,arena/019ff82d-pro-v1,arena/019ff859-pro-v1,arena/019ff8b4-pro-v1,arena/019ff8c7-pro-v1,arena/019ff8f2-pro-v1,arena/019ffce9-pro-v1,arena/019ffd78-pro-v1,arena/019ffe92-pro-v1,arena/019ffece-pro-v1,arena/019fffd5-pro-v1,arena/01a0064f-pro-v1,arena/01a00f9e-pro-v1,chore/platform-rebuild-baseline,feat/admin-social-management,feat/red-engineering-roadmap-20260820,feature/uc2000-ve-sms-browser-audit,fix/restore-websocket-registrations,revert-37-arena/019ffd78-pro-v1"
LEGENDARY_COMPLETENESS_VERIFICATION_2026-08-24.md,30,"arena/019fe8fa-pro-v1,arena/019fe9e3-pro-v1,arena/019ff019-pro-v1,arena/019ff06b-pro-v1,arena/019ff085-pro-v1,arena/019ff0c7-pro-v1,arena/019ff146-pro-v1,arena/019ff178-pro-v1,arena/019ff1f9-pro-v1,arena/019ff215-pro-v1,arena/019ff237-pro-v1,arena/019ff422-pro-v1,arena/019ff82d-pro-v1,arena/019ff859-pro-v1,arena/019ff8b4-pro-v1,arena/019ff8c7-pro-v1,arena/019ff8f2-pro-v1,arena/019ffce9-pro-v1,arena/019ffd78-pro-v1,arena/019ffe92-pro-v1,arena/019ffece-pro-v1,arena/019fffd5-pro-v1,arena/01a0064f-pro-v1,arena/01a00f9e-pro-v1,chore/platform-rebuild-baseline,feat/admin-social-management,feat/red-engineering-roadmap-20260820,feature/uc2000-ve-sms-browser-audit,fix/restore-websocket-registrations,revert-37-arena/019ffd78-pro-v1"
PROJECT_STATE_2026-08-24.md,30,"arena/019fe8fa-pro-v1,arena/019fe9e3-pro-v1,arena/019ff019-pro-v1,arena/019ff06b-pro-v1,arena/019ff085-pro-v1,arena/019ff0c7-pro-v1,arena/019ff146-pro-v1,arena/019ff178-pro-v1,arena/019ff1f9-pro-v1,arena/019ff215-pro-v1,arena/019ff237-pro-v1,arena/019ff422-pro-v1,arena/019ff82d-pro-v1,arena/019ff859-pro-v1,arena/019ff8b4-pro-v1,arena/019ff8c7-pro-v1,arena/019ff8f2-pro-v1,arena/019ffce9-pro-v1,arena/019ffd78-pro-v1,arena/019ffe92-pro-v1,arena/019ffece-pro-v1,arena/019fffd5-pro-v1,arena/01a0064f-pro-v1,arena/01a00f9e-pro-v1,chore/platform-rebuild-baseline,feat/admin-social-management,feat/red-engineering-roadmap-20260820,feature/uc2000-ve-sms-browser-audit,fix/restore-websocket-registrations,revert-37-arena/019ffd78-pro-v1"
PSTN_DINSTAR_ANALYSIS.md,30,"arena/019fe8fa-pro-v1,arena/019fe9e3-pro-v1,arena/019ff019-pro-v1,arena/019ff06b-pro-v1,arena/019ff085-pro-v1,arena/019ff0c7-pro-v1,arena/019ff146-pro-v1,arena/019ff178-pro-v1,arena/019ff1f9-pro-v1,arena/019ff215-pro-v1,arena/019ff237-pro-v1,arena/019ff422-pro-v1,arena/019ff82d-pro-v1,arena/019ff859-pro-v1,arena/019ff8b4-pro-v1,arena/019ff8c7-pro-v1,arena/019ff8f2-pro-v1,arena/019ffce9-pro-v1,arena/019ffd78-pro-v1,arena/019ffe92-pro-v1,arena/019ffece-pro-v1,arena/019fffd5-pro-v1,arena/01a0064f-pro-v1,arena/01a00f9e-pro-v1,chore/platform-rebuild-baseline,feat/admin-social-management,feat/red-engineering-roadmap-20260820,feature/uc2000-ve-sms-browser-audit,fix/restore-websocket-registrations,revert-37-arena/019ffd78-pro-v1"
RED_Ultimate_V1-main/RED_Ultimate/RED_SECURITY_AUDIT.md,30,"arena/019fe8fa-pro-v1,arena/019fe9e3-pro-v1,arena/019ff019-pro-v1,arena/019ff06b-pro-v1,arena/019ff085-pro-v1,arena/019ff0c7-pro-v1,arena/019ff146-pro-v1,arena/019ff178-pro-v1,arena/019ff1f9-pro-v1,arena/019ff215-pro-v1,arena/019ff237-pro-v1,arena/019ff422-pro-v1,arena/019ff82d-pro-v1,arena/019ff859-pro-v1,arena/019ff8b4-pro-v1,arena/019ff8c7-pro-v1,arena/019ff8f2-pro-v1,arena/019ffce9-pro-v1,arena/019ffd78-pro-v1,arena/019ffe92-pro-v1,arena/019ffece-pro-v1,arena/019fffd5-pro-v1,arena/01a0064f-pro-v1,arena/01a00f9e-pro-v1,chore/platform-rebuild-baseline,feat/admin-social-management,feat/red-engineering-roadmap-20260820,feature/uc2000-ve-sms-browser-audit,fix/restore-websocket-registrations,revert-37-arena/019ffd78-pro-v1"
RED_Ultimate_V1-main/RED_Ultimate/admin_dashboard/role-check-output.txt,30,"arena/019fe8fa-pro-v1,arena/019fe9e3-pro-v1,arena/019ff019-pro-v1,arena/019ff06b-pro-v1,arena/019ff085-pro-v1,arena/019ff0c7-pro-v1,arena/019ff146-pro-v1,arena/019ff178-pro-v1,arena/019ff1f9-pro-v1,arena/019ff215-pro-v1,arena/019ff237-pro-v1,arena/019ff422-pro-v1,arena/019ff82d-pro-v1,arena/019ff859-pro-v1,arena/019ff8b4-pro-v1,arena/019ff8c7-pro-v1,arena/019ff8f2-pro-v1,arena/019ffce9-pro-v1,arena/019ffd78-pro-v1,arena/019ffe92-pro-v1,arena/019ffece-pro-v1,arena/019fffd5-pro-v1,arena/01a0064f-pro-v1,arena/01a00f9e-pro-v1,chore/platform-rebuild-baseline,feat/admin-social-management,feat/red-engineering-roadmap-20260820,feature/uc2000-ve-sms-browser-audit,fix/restore-websocket-registrations,revert-37-arena/019ffd78-pro-v1"
RED_Ultimate_V1-main/RED_Ultimate/admin_dashboard/src/components/UltimateEmpty.tsx,30,"arena/019fe8fa-pro-v1,arena/019fe9e3-pro-v1,arena/019ff019-pro-v1,arena/019ff06b-pro-v1,arena/019ff085-pro-v1,arena/019ff0c7-pro-v1,arena/019ff146-pro-v1,arena/019ff178-pro-v1,arena/019ff1f9-pro-v1,arena/019ff215-pro-v1,arena/019ff237-pro-v1,arena/019ff422-pro-v1,arena/019ff82d-pro-v1,arena/019ff859-pro-v1,arena/019ff8b4-pro-v1,arena/019ff8c7-pro-v1,arena/019ff8f2-pro-v1,arena/019ffce9-pro-v1,arena/019ffd78-pro-v1,arena/019ffe92-pro-v1,arena/019ffece-pro-v1,arena/019fffd5-pro-v1,arena/01a0064f-pro-v1,arena/01a00f9e-pro-v1,chore/platform-rebuild-baseline,feat/admin-social-management,feat/red-engineering-roadmap-20260820,feature/uc2000-ve-sms-browser-audit,fix/restore-websocket-registrations,revert-37-arena/019ffd78-pro-v1"
RED_Ultimate_V1-main/RED_Ultimate/admin_dashboard/src/pages/CallHistory.tsx,30,"arena/019fe8fa-pro-v1,arena/019fe9e3-pro-v1,arena/019ff019-pro-v1,arena/019ff06b-pro-v1,arena/019ff085-pro-v1,arena/019ff0c7-pro-v1,arena/019ff146-pro-v1,arena/019ff178-pro-v1,arena/019ff1f9-pro-v1,arena/019ff215-pro-v1,arena/019ff237-pro-v1,arena/019ff422-pro-v1,arena/019ff82d-pro-v1,arena/019ff859-pro-v1,arena/019ff8b4-pro-v1,arena/019ff8c7-pro-v1,arena/019ff8f2-pro-v1,arena/019ffce9-pro-v1,arena/019ffd78-pro-v1,arena/019ffe92-pro-v1,arena/019ffece-pro-v1,arena/019fffd5-pro-v1,arena/01a0064f-pro-v1,arena/01a00f9e-pro-v1,chore/platform-rebuild-baseline,feat/admin-social-management,feat/red-engineering-roadmap-20260820,feature/uc2000-ve-sms-browser-audit,fix/restore-websocket-registrations,revert-37-arena/019ffd78-pro-v1"
RED_Ultimate_V1-main/RED_Ultimate/admin_dashboard/src/pages/NumberLearningCard.tsx,30,"arena/019fe8fa-pro-v1,arena/019fe9e3-pro-v1,arena/019ff019-pro-v1,arena/019ff06b-pro-v1,arena/019ff085-pro-v1,arena/019ff0c7-pro-v1,arena/019ff146-pro-v1,arena/019ff178-pro-v1,arena/019ff1f9-pro-v1,arena/019ff215-pro-v1,arena/019ff237-pro-v1,arena/019ff422-pro-v1,arena/019ff82d-pro-v1,arena/019ff859-pro-v1,arena/019ff8b4-pro-v1,arena/019ff8c7-pro-v1,arena/019ff8f2-pro-v1,arena/019ffce9-pro-v1,arena/019ffd78-pro-v1,arena/019ffe92-pro-v1,arena/019ffece-pro-v1,arena/019fffd5-pro-v1,arena/01a0064f-pro-v1,arena/01a00f9e-pro-v1,chore/platform-rebuild-baseline,feat/admin-social-management,feat/red-engineering-roadmap-20260820,feature/uc2000-ve-sms-browser-audit,fix/restore-websocket-registrations,revert-37-arena/019ffd78-pro-v1"
RED_Ultimate_V1-main/RED_Ultimate/admin_dashboard/src/pages/PstnManagement.tsx,30,"arena/019fe8fa-pro-v1,arena/019fe9e3-pro-v1,arena/019ff019-pro-v1,arena/019ff06b-pro-v1,arena/019ff085-pro-v1,arena/019ff0c7-pro-v1,arena/019ff146-pro-v1,arena/019ff178-pro-v1,arena/019ff1f9-pro-v1,arena/019ff215-pro-v1,arena/019ff237-pro-v1,arena/019ff422-pro-v1,arena/019ff82d-pro-v1,arena/019ff859-pro-v1,arena/019ff8b4-pro-v1,arena/019ff8c7-pro-v1,arena/019ff8f2-pro-v1,arena/019ffce9-pro-v1,arena/019ffd78-pro-v1,arena/019ffe92-pro-v1,arena/019ffece-pro-v1,arena/019fffd5-pro-v1,arena/01a0064f-pro-v1,arena/01a00f9e-pro-v1,chore/platform-rebuild-baseline,feat/admin-social-management,feat/red-engineering-roadmap-20260820,feature/uc2000-ve-sms-browser-audit,fix/restore-websocket-registrations,revert-37-arena/019ffd78-pro-v1"
RED_Ultimate_V1-main/RED_Ultimate/android/features/pstn/PstnSipEngine.kt,30,"arena/019fe8fa-pro-v1,arena/019fe9e3-pro-v1,arena/019ff019-pro-v1,arena/019ff06b-pro-v1,arena/019ff085-pro-v1,arena/019ff0c7-pro-v1,arena/019ff146-pro-v1,arena/019ff178-pro-v1,arena/019ff1f9-pro-v1,arena/019ff215-pro-v1,arena/019ff237-pro-v1,arena/019ff422-pro-v1,arena/019ff82d-pro-v1,arena/019ff859-pro-v1,arena/019ff8b4-pro-v1,arena/019ff8c7-pro-v1,arena/019ff8f2-pro-v1,arena/019ffce9-pro-v1,arena/019ffd78-pro-v1,arena/019ffe92-pro-v1,arena/019ffece-pro-v1,arena/019fffd5-pro-v1,arena/01a0064f-pro-v1,arena/01a00f9e-pro-v1,chore/platform-rebuild-baseline,feat/admin-social-management,feat/red-engineering-roadmap-20260820,feature/uc2000-ve-sms-browser-audit,fix/restore-websocket-registrations,revert-37-arena/019ffd78-pro-v1"
RED_Ultimate_V1-main/RED_Ultimate/app/src/main/java/com/red/sovereign/features/calls/YemeniOperatorDetector.kt,30,"arena/019fe8fa-pro-v1,arena/019fe9e3-pro-v1,arena/019ff019-pro-v1,arena/019ff06b-pro-v1,arena/019ff085-pro-v1,arena/019ff0c7-pro-v1,arena/019ff146-pro-v1,arena/019ff178-pro-v1,arena/019ff1f9-pro-v1,arena/019ff215-pro-v1,arena/019ff237-pro-v1,arena/019ff422-pro-v1,arena/019ff82d-pro-v1,arena/019ff859-pro-v1,arena/019ff8b4-pro-v1,arena/019ff8c7-pro-v1,arena/019ff8f2-pro-v1,arena/019ffce9-pro-v1,arena/019ffd78-pro-v1,arena/019ffe92-pro-v1,arena/019ffece-pro-v1,arena/019fffd5-pro-v1,arena/01a0064f-pro-v1,arena/01a00f9e-pro-v1,chore/platform-rebuild-baseline,feat/admin-social-management,feat/red-engineering-roadmap-20260820,feature/uc2000-ve-sms-browser-audit,fix/restore-websocket-registrations,revert-37-arena/019ffd78-pro-v1"
RED_Ultimate_V1-main/RED_Ultimate/app/src/main/java/com/red/sovereign/features/calls/data/CallRepository.kt,30,"arena/019fe8fa-pro-v1,arena/019fe9e3-pro-v1,arena/019ff019-pro-v1,arena/019ff06b-pro-v1,arena/019ff085-pro-v1,arena/019ff0c7-pro-v1,arena/019ff146-pro-v1,arena/019ff178-pro-v1,arena/019ff1f9-pro-v1,arena/019ff215-pro-v1,arena/019ff237-pro-v1,arena/019ff422-pro-v1,arena/019ff82d-pro-v1,arena/019ff859-pro-v1,arena/019ff8b4-pro-v1,arena/019ff8c7-pro-v1,arena/019ff8f2-pro-v1,arena/019ffce9-pro-v1,arena/019ffd78-pro-v1,arena/019ffe92-pro-v1,arena/019ffece-pro-v1,arena/019fffd5-pro-v1,arena/01a0064f-pro-v1,arena/01a00f9e-pro-v1,chore/platform-rebuild-baseline,feat/admin-social-management,feat/red-engineering-roadmap-20260820,feature/uc2000-ve-sms-browser-audit,fix/restore-websocket-registrations,revert-37-arena/019ffd78-pro-v1"
