branch,path,lines_added_vs_main,lines_removed_vs_main,total_lines_branch
arena/019fe8fa-pro-v1,RED_Ultimate_V1-main/RED_Ultimate/backend-server/src/main/kotlin/com/red/server/admin/controller/AdminV2Controller.kt,684,694,684
arena/019fe8fa-pro-v1,RED_Ultimate_V1-main/RED_Ultimate/backend-server/src/main/kotlin/com/red/server/admin/service/AdminService.kt,333,331,333
arena/019fe8fa-pro-v1,RED_Ultimate_V1-main/RED_Ultimate/backend-server/src/main/kotlin/com/red/server/websocket/LiveStreamWebSocketHandler.kt,101,267,102
arena/019fe8fa-pro-v1,RED_Ultimate_V1-main/RED_Ultimate/backend-server/src/main/kotlin/com/red/server/auth/security/JwtService.kt,82,99,82
arena/019fe8fa-pro-v1,RED_Ultimate_V1-main/RED_Ultimate/backend-server/src/main/kotlin/com/red/server/websocket/RedMasterHandler.kt,27,105,159
arena/019fe8fa-pro-v1,RED_Ultimate_V1-main/RED_Ultimate/backend-server/src/main/kotlin/com/red/server/admin/service/ContentService.kt,12,64,338
arena/019fe8fa-pro-v1,RED_Ultimate_V1-main/RED_Ultimate/backend-server/src/main/kotlin/com/red/server/media/MediaService.kt,10,3,253
arena/019fe8fa-pro-v1,RED_Ultimate_V1-main/RED_Ultimate/backend-server/src/main/kotlin/com/red/server/media/MediaSecurityScanner.kt,9,14,152
arena/019fe8fa-pro-v1,RED_Ultimate_V1-main/RED_Ultimate/backend-server/src/main/kotlin/com/red/server/auth/model/UserAccount.kt,6,29,92
arena/019fe8fa-pro-v1,RED_Ultimate_V1-main/RED_Ultimate/backend-server/src/main/kotlin/com/red/server/services/AdminUserIntelligenceService.kt,4,10,118
arena/019fe9e3-pro-v1,RED_Ultimate_V1-main/RED_Ultimate/backend-server/src/main/kotlin/com/red/server/admin/controller/AdminV2Controller.kt,690,694,690
arena/019fe9e3-pro-v1,RED_Ultimate_V1-main/RED_Ultimate/backend-server/src/main/kotlin/com/red/server/admin/service/AdminService.kt,333,331,333
arena/019fe9e3-pro-v1,RED_Ultimate_V1-main/RED_Ultimate/red-app/build.gradle.kts,129,200,129
