branch,path,bytes,lines
arena/019fe9e3-pro-v1,.env,741,24
arena/019fe9e3-pro-v1,.idea/modules.xml,266,7
arena/019fe9e3-pro-v1,RED_Ultimate_V1-main/RED_Ultimate/backend-server/gradle/verification-metadata.xml,188216,2977
arena/019fe9e3-pro-v1,RED_Ultimate_V1-main/RED_Ultimate/backend-server/src/main/resources/db/migration/V24__Sovereign_Ultimate_Capabilities_And_Performance_Indexes.sql,4180,78
arena/019fe9e3-pro-v1,RED_Ultimate_V1-main/RED_Ultimate/red-app/src/main/res/values/attrs_red.xml,114,4
arena/019ff019-pro-v1,RED_Ultimate_V1-main/RED_Ultimate/app-android/features/feature/stories/CameraCaptureScreen.kt,4483,94
arena/019ff019-pro-v1,RED_Ultimate_V1-main/RED_Ultimate/backend-server/src/main/resources/db/migration/V23__Sovereign_Ultimate_Capabilities_And_Performance_Indexes.sql,4180,78
arena/019ffe92-pro-v1,RED_Ultimate_V1-main/RED_Ultimate/backend-server/src/main/kotlin/com/red/server/controllers/LiveStreamPublicController.kt,2969,62
arena/019ffece-pro-v1,RED_Ultimate_V1-main/RED_Ultimate/backend-server/src/main/resources/db/migration/V31__Dinstar_Enhanced.sql,15788,305
arena/01a0064f-pro-v1,RED_Ultimate_V1-main/RED_Ultimate/backend-server/src/main/resources/db/migration/V31__Dinstar_Enhanced.sql,15788,305
chore/platform-rebuild-baseline,PLAN_DEEP_PROJECT_AUDIT_AND_HARDENING_AR.md,12263,91
chore/platform-rebuild-baseline,PRO_V1_COMPREHENSIVE_AUDIT_2026-08-19_AR.md,20385,126
chore/platform-rebuild-baseline,RED_Ultimate_V1-main/RED_Ultimate/backend-server/src/main/kotlin/com/red/server/auth/CsrfTokenValidator.kt,832,21
chore/platform-rebuild-baseline,RED_Ultimate_V1-main/RED_Ultimate/backend-server/src/main/kotlin/com/red/server/services/DinstarStatusSnapshotService.kt,5246,124
chore/platform-rebuild-baseline,RED_Ultimate_V1-main/RED_Ultimate/backend-server/src/main/resources/db/migration/V31__Persistent_Gateway_Port_Reservations.sql,754,14
chore/platform-rebuild-baseline,RED_Ultimate_V1-main/RED_Ultimate/backend-server/src/main/resources/db/migration/V32__Persistent_Pstn_Active_Calls.sql,666,14
chore/platform-rebuild-baseline,RED_Ultimate_V1-main/RED_Ultimate/backend-server/src/test/kotlin/com/red/server/auth/AuthExceptionHandlerTest.kt,2174,63
chore/platform-rebuild-baseline,RED_Ultimate_V1-main/RED_Ultimate/backend-server/src/test/kotlin/com/red/server/auth/CsrfTokenValidatorTest.kt,1112,28
chore/platform-rebuild-baseline,RED_Ultimate_V1-main/RED_Ultimate/backend-server/src/test/kotlin/com/red/server/controllers/AdminDataOverviewControllerTest.kt,1651,40
